table,Variable,Analysis,Site,Value,Zone,,,,,,,,Log10 Fitness,,,Log10 Size (HxWxL; cm3),,,Height (cm),,,ÃNo. of Branches,,,,,,,,Log10 Dist. to Neighbour (cm),,,Ranked Seed Set Ratio,,,Log10 Growth Rate (cm3/day),,,ÃFlowering Duration (days),,
4,Branches,CV,BH,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,BH,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,DB,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,DB,82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,KB,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,KB,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,LH,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,LH,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,MNS,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,MNS,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,TH,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,TH,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,AR,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,AR,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,BH,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,BH,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,DB,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,DB,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,KB,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,KB,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,LH,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,LH,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,MNS,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,MNS,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,TH,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,mean,TH,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,AR,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,AR,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,BH,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,BH,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,DB,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,DB,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,KB,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,KB,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,LH,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,LH,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,MNS,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,MNS,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,TH,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,sd,TH,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,AR,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,AR,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,BH,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,BH,96,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,DB,230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,DB,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,KB,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,KB,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,LH,88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,LH,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,MNS,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,MNS,44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,TH,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,CV,TH,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,AR,130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,AR,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,BH,116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,BH,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,DB,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,DB,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,KB,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,KB,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
